@relation GermanCredit 
@attribute checking_status {0 <= X < 200 DM), < 0 DM, no checking account, >= 200DM}
@attribute duration { 24 < X <= 72 months, 3.999 < X <= 12 months, 12 < X <= 18 months, 18 < X <= 24 months}
@attribute credit_history {delay paid in the past, existing credits paid back till now, no credits taken/all credits paid, critical account/other credits existing, all credits paid at this bank}
@attribute purpose {others, retraining, education, repairs, car (used), car (new), domestic appliances, business, furniture/equipment, radio/television}
@attribute credit_amount {249.999 < X <= 1365.5, 2319.5 < X <= 3972.25, 1365.5 < X <= 2319.5, 3972.25 < X <= 18424.0}
@attribute savings {>= 1000 DM, 100 <= X < 500 DM), 500 <= X < 1000 DM), < 100 DM, unknown or no savings}
@attribute employment_since {< 1 year, >= 7 years, 4 <= X < 7 years), unemployed, 1 <= X < 4 years)}
@attribute installment_rate {1, 2, 3, 4}
@attribute marital_gender {married/widowed male, divorced male, divorced/married female, single male}
@attribute other_debtors {co-applicant, guarantor, none}
@attribute residence_since {1, 2, 3, 4}
@attribute property {unknown/no property, savings/life insurance, car/other, real estate}
@attribute age {old, young}
@attribute other_installments {stores, bank, none}
@attribute housing {rent, for free, own}
@attribute existing_credits {1, 2, 3, 4}
@attribute job {unskilled/resident, management/self employed/highly qualified employee/officer, unemployed/non-resident, skilled employee/official}
@attribute dependants {1, 2}
@attribute telephone {yes, none}
@attribute foreign_worker {yes, no}
@attribute class {good, bad}
@data 
< 0 DM,3.999 < X <= 12 months,critical account/other credits existing,car (new),249.999 < X <= 1365.5,< 100 DM,< 1 year,2,single male,none,4,real estate,old,none,own,1,unskilled/resident,2,none,no,good
no checking account, 24 < X <= 72 months,critical account/other credits existing,furniture/equipment,3972.25 < X <= 18424.0,< 100 DM,< 1 year,2,divorced/married female,none,4,savings/life insurance,young,none,rent,2,skilled employee/official,1,yes,yes,bad
< 0 DM,3.999 < X <= 12 months,existing credits paid back till now,car (new),249.999 < X <= 1365.5,100 <= X < 500 DM),>= 7 years,3,single male,none,2,savings/life insurance,old,none,own,1,skilled employee/official,1,yes,yes,good
no checking account,3.999 < X <= 12 months,critical account/other credits existing,radio/television,249.999 < X <= 1365.5,unknown or no savings,>= 7 years,4,single male,none,4,unknown/no property,old,none,for free,2,skilled employee/official,1,none,yes,good
no checking account,18 < X <= 24 months,critical account/other credits existing,repairs,3972.25 < X <= 18424.0,< 100 DM,>= 7 years,3,single male,none,4,unknown/no property,old,none,for free,2,skilled employee/official,1,none,yes,good
< 0 DM,12 < X <= 18 months,existing credits paid back till now,radio/television,2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),2,divorced/married female,none,2,real estate,young,none,own,1,skilled employee/official,1,none,yes,bad
< 0 DM, 24 < X <= 72 months,no credits taken/all credits paid,furniture/equipment,3972.25 < X <= 18424.0,< 100 DM,1 <= X < 4 years),3,single male,none,4,unknown/no property,old,none,for free,2,skilled employee/official,2,none,yes,bad
no checking account,18 < X <= 24 months,existing credits paid back till now,car (used),2319.5 < X <= 3972.25,100 <= X < 500 DM),4 <= X < 7 years),3,divorced/married female,none,4,car/other,young,none,own,1,skilled employee/official,1,none,yes,good
0 <= X < 200 DM),12 < X <= 18 months,existing credits paid back till now,radio/television,249.999 < X <= 1365.5,< 100 DM,1 <= X < 4 years),4,divorced/married female,guarantor,4,real estate,old,none,own,1,unskilled/resident,2,none,yes,good
0 <= X < 200 DM), 24 < X <= 72 months,existing credits paid back till now,car (used),3972.25 < X <= 18424.0,< 100 DM,< 1 year,2,single male,none,3,car/other,old,none,own,2,skilled employee/official,1,none,yes,good
no checking account,12 < X <= 18 months,critical account/other credits existing,education,1365.5 < X <= 2319.5,100 <= X < 500 DM),1 <= X < 4 years),4,divorced/married female,none,3,car/other,old,none,own,1,skilled employee/official,1,none,yes,good
no checking account,3.999 < X <= 12 months,critical account/other credits existing,radio/television,1365.5 < X <= 2319.5,< 100 DM,4 <= X < 7 years),2,single male,none,1,real estate,old,none,own,2,unskilled/resident,2,none,yes,good
< 0 DM, 24 < X <= 72 months,existing credits paid back till now,radio/television,1365.5 < X <= 2319.5,< 100 DM,1 <= X < 4 years),4,divorced male,none,4,car/other,old,none,rent,1,skilled employee/official,1,none,yes,bad
< 0 DM,3.999 < X <= 12 months,existing credits paid back till now,car (new),249.999 < X <= 1365.5,< 100 DM,< 1 year,3,single male,none,4,real estate,old,none,own,1,unskilled/resident,2,yes,yes,good
0 <= X < 200 DM), 24 < X <= 72 months,existing credits paid back till now,education,1365.5 < X <= 2319.5,< 100 DM,4 <= X < 7 years),3,single male,none,1,car/other,old,none,own,2,skilled employee/official,2,none,yes,good
0 <= X < 200 DM),12 < X <= 18 months,existing credits paid back till now,car (new),2319.5 < X <= 3972.25,100 <= X < 500 DM),1 <= X < 4 years),2,divorced/married female,none,4,car/other,old,none,rent,2,skilled employee/official,1,yes,yes,bad
no checking account,3.999 < X <= 12 months,delay paid in the past,car (used),1365.5 < X <= 2319.5,< 100 DM,1 <= X < 4 years),4,married/widowed male,none,4,real estate,old,none,rent,1,skilled employee/official,1,none,yes,good
no checking account,18 < X <= 24 months,existing credits paid back till now,radio/television,249.999 < X <= 1365.5,100 <= X < 500 DM),4 <= X < 7 years),4,married/widowed male,none,3,savings/life insurance,old,none,own,1,skilled employee/official,1,yes,yes,good
no checking account,18 < X <= 24 months,existing credits paid back till now,radio/television,2319.5 < X <= 3972.25,unknown or no savings,< 1 year,4,single male,none,2,car/other,young,none,own,2,skilled employee/official,1,none,yes,good
>= 200DM,18 < X <= 24 months,critical account/other credits existing,education,1365.5 < X <= 2319.5,< 100 DM,< 1 year,2,divorced male,none,1,car/other,old,none,rent,1,skilled employee/official,1,none,yes,bad
< 0 DM,3.999 < X <= 12 months,existing credits paid back till now,car (new),1365.5 < X <= 2319.5,unknown or no savings,unemployed,4,divorced/married female,none,3,savings/life insurance,old,none,own,1,management/self employed/highly qualified employee/officer,1,yes,yes,good
0 <= X < 200 DM),12 < X <= 18 months,critical account/other credits existing,furniture/equipment,2319.5 < X <= 3972.25,< 100 DM,>= 7 years,3,divorced/married female,none,4,savings/life insurance,old,none,own,1,skilled employee/official,1,yes,yes,good
< 0 DM, 24 < X <= 72 months,existing credits paid back till now,car (new),3972.25 < X <= 18424.0,< 100 DM,>= 7 years,4,single male,none,4,unknown/no property,old,bank,for free,1,management/self employed/highly qualified employee/officer,1,none,yes,bad
>= 200DM,12 < X <= 18 months,existing credits paid back till now,furniture/equipment,2319.5 < X <= 3972.25,< 100 DM,< 1 year,1,divorced/married female,none,1,savings/life insurance,old,stores,own,1,unskilled/resident,1,none,yes,good
0 <= X < 200 DM),3.999 < X <= 12 months,existing credits paid back till now,radio/television,1365.5 < X <= 2319.5,< 100 DM,< 1 year,1,married/widowed male,none,1,real estate,young,none,rent,1,skilled employee/official,1,none,yes,bad
no checking account,18 < X <= 24 months,delay paid in the past,car (new),1365.5 < X <= 2319.5,< 100 DM,>= 7 years,4,single male,none,4,unknown/no property,old,none,for free,2,skilled employee/official,1,yes,yes,good
< 0 DM, 24 < X <= 72 months,existing credits paid back till now,furniture/equipment,3972.25 < X <= 18424.0,unknown or no savings,>= 7 years,4,single male,none,4,savings/life insurance,old,none,own,1,skilled employee/official,1,none,yes,bad
>= 200DM,12 < X <= 18 months,existing credits paid back till now,furniture/equipment,2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),2,single male,none,1,real estate,old,none,own,1,unskilled/resident,2,none,yes,bad
no checking account,3.999 < X <= 12 months,critical account/other credits existing,car (new),249.999 < X <= 1365.5,< 100 DM,>= 7 years,4,single male,none,4,real estate,old,none,own,2,unskilled/resident,1,none,yes,good
< 0 DM,18 < X <= 24 months,delay paid in the past,car (new),249.999 < X <= 1365.5,< 100 DM,unemployed,4,single male,none,2,real estate,old,none,for free,2,skilled employee/official,2,none,yes,bad
no checking account,18 < X <= 24 months,critical account/other credits existing,car (new),1365.5 < X <= 2319.5,< 100 DM,1 <= X < 4 years),4,divorced/married female,none,4,car/other,old,none,own,1,skilled employee/official,1,yes,yes,good
no checking account,18 < X <= 24 months,existing credits paid back till now,radio/television,1365.5 < X <= 2319.5,< 100 DM,4 <= X < 7 years),3,single male,none,1,car/other,old,bank,own,1,skilled employee/official,2,none,yes,good
< 0 DM,3.999 < X <= 12 months,all credits paid at this bank,radio/television,249.999 < X <= 1365.5,< 100 DM,1 <= X < 4 years),4,divorced/married female,none,4,real estate,young,bank,own,1,unskilled/resident,1,none,yes,bad
no checking account, 24 < X <= 72 months,critical account/other credits existing,car (used),3972.25 < X <= 18424.0,unknown or no savings,4 <= X < 7 years),2,single male,none,1,unknown/no property,old,none,for free,2,skilled employee/official,1,yes,yes,good
no checking account,3.999 < X <= 12 months,critical account/other credits existing,repairs,249.999 < X <= 1365.5,unknown or no savings,4 <= X < 7 years),4,divorced/married female,none,4,real estate,young,none,own,2,skilled employee/official,1,none,yes,good
no checking account,3.999 < X <= 12 months,all credits paid at this bank,radio/television,1365.5 < X <= 2319.5,500 <= X < 1000 DM),>= 7 years,2,single male,none,4,savings/life insurance,old,bank,own,1,unskilled/resident,2,none,yes,good
< 0 DM, 24 < X <= 72 months,existing credits paid back till now,radio/television,3972.25 < X <= 18424.0,< 100 DM,4 <= X < 7 years),1,married/widowed male,guarantor,1,real estate,old,none,own,2,skilled employee/official,1,yes,yes,bad
0 <= X < 200 DM),3.999 < X <= 12 months,critical account/other credits existing,car (new),1365.5 < X <= 2319.5,100 <= X < 500 DM),< 1 year,4,single male,none,1,car/other,old,none,own,1,skilled employee/official,1,none,yes,good
0 <= X < 200 DM),3.999 < X <= 12 months,existing credits paid back till now,education,249.999 < X <= 1365.5,< 100 DM,4 <= X < 7 years),4,divorced/married female,none,4,savings/life insurance,old,none,own,2,management/self employed/highly qualified employee/officer,1,yes,yes,good
0 <= X < 200 DM),3.999 < X <= 12 months,existing credits paid back till now,radio/television,249.999 < X <= 1365.5,< 100 DM,< 1 year,2,single male,none,1,car/other,young,stores,own,1,skilled employee/official,1,none,yes,bad
0 <= X < 200 DM),12 < X <= 18 months,no credits taken/all credits paid,car (new),1365.5 < X <= 2319.5,100 <= X < 500 DM),< 1 year,3,divorced/married female,none,3,car/other,old,none,own,2,skilled employee/official,1,none,yes,bad
no checking account,18 < X <= 24 months,no credits taken/all credits paid,car (new),3972.25 < X <= 18424.0,unknown or no savings,1 <= X < 4 years),1,divorced/married female,none,4,savings/life insurance,old,bank,own,2,skilled employee/official,1,yes,yes,bad
< 0 DM,18 < X <= 24 months,all credits paid at this bank,furniture/equipment,2319.5 < X <= 3972.25,< 100 DM,4 <= X < 7 years),3,single male,none,4,car/other,old,bank,own,1,skilled employee/official,1,none,yes,bad
0 <= X < 200 DM),12 < X <= 18 months,critical account/other credits existing,furniture/equipment,1365.5 < X <= 2319.5,< 100 DM,< 1 year,2,single male,none,2,real estate,old,none,own,2,unskilled/resident,1,none,yes,bad
< 0 DM,18 < X <= 24 months,existing credits paid back till now,car (used),2319.5 < X <= 3972.25,unknown or no savings,>= 7 years,4,single male,none,4,unknown/no property,old,bank,for free,1,skilled employee/official,2,yes,yes,good
< 0 DM,18 < X <= 24 months,all credits paid at this bank,radio/television,1365.5 < X <= 2319.5,< 100 DM,4 <= X < 7 years),4,single male,guarantor,4,car/other,young,bank,rent,1,unskilled/resident,1,none,yes,bad
>= 200DM,3.999 < X <= 12 months,delay paid in the past,radio/television,249.999 < X <= 1365.5,< 100 DM,< 1 year,2,divorced/married female,none,1,savings/life insurance,old,bank,own,1,skilled employee/official,1,none,yes,good
0 <= X < 200 DM), 24 < X <= 72 months,existing credits paid back till now,car (new),3972.25 < X <= 18424.0,unknown or no savings,1 <= X < 4 years),1,single male,none,4,unknown/no property,old,none,for free,1,skilled employee/official,1,yes,yes,bad
0 <= X < 200 DM),18 < X <= 24 months,delay paid in the past,business,3972.25 < X <= 18424.0,unknown or no savings,1 <= X < 4 years),4,single male,none,2,savings/life insurance,old,bank,own,2,management/self employed/highly qualified employee/officer,1,yes,yes,good
0 <= X < 200 DM),18 < X <= 24 months,delay paid in the past,radio/television,1365.5 < X <= 2319.5,100 <= X < 500 DM),4 <= X < 7 years),3,divorced/married female,none,2,savings/life insurance,young,none,rent,2,skilled employee/official,1,yes,yes,good
< 0 DM,3.999 < X <= 12 months,existing credits paid back till now,car (new),1365.5 < X <= 2319.5,< 100 DM,4 <= X < 7 years),2,divorced male,none,3,car/other,old,none,own,1,skilled employee/official,1,none,yes,bad
no checking account,18 < X <= 24 months,critical account/other credits existing,radio/television,2319.5 < X <= 3972.25,>= 1000 DM,>= 7 years,2,single male,none,2,car/other,old,none,own,1,skilled employee/official,1,none,yes,good
0 <= X < 200 DM), 24 < X <= 72 months,existing credits paid back till now,radio/television,3972.25 < X <= 18424.0,unknown or no savings,4 <= X < 7 years),4,single male,none,1,car/other,old,none,own,2,skilled employee/official,2,yes,yes,good
< 0 DM, 24 < X <= 72 months,existing credits paid back till now,radio/television,3972.25 < X <= 18424.0,< 100 DM,1 <= X < 4 years),3,divorced/married female,none,2,car/other,old,none,own,1,skilled employee/official,1,yes,yes,bad
< 0 DM,18 < X <= 24 months,existing credits paid back till now,furniture/equipment,2319.5 < X <= 3972.25,< 100 DM,< 1 year,4,divorced/married female,none,4,real estate,young,none,rent,1,unskilled/resident,1,yes,yes,bad
no checking account, 24 < X <= 72 months,critical account/other credits existing,radio/television,3972.25 < X <= 18424.0,< 100 DM,4 <= X < 7 years),3,single male,co-applicant,2,car/other,old,none,own,1,skilled employee/official,1,none,yes,good
no checking account,18 < X <= 24 months,existing credits paid back till now,car (used),3972.25 < X <= 18424.0,unknown or no savings,unemployed,2,divorced/married female,none,4,savings/life insurance,old,none,rent,1,management/self employed/highly qualified employee/officer,1,yes,yes,good
< 0 DM,12 < X <= 18 months,existing credits paid back till now,business,249.999 < X <= 1365.5,< 100 DM,1 <= X < 4 years),4,divorced/married female,none,4,savings/life insurance,young,none,own,1,unskilled/resident,1,none,yes,good
0 <= X < 200 DM),3.999 < X <= 12 months,existing credits paid back till now,radio/television,249.999 < X <= 1365.5,< 100 DM,>= 7 years,4,single male,none,4,car/other,old,none,own,2,unskilled/resident,1,none,yes,good
no checking account,12 < X <= 18 months,critical account/other credits existing,furniture/equipment,2319.5 < X <= 3972.25,< 100 DM,4 <= X < 7 years),2,divorced/married female,co-applicant,3,car/other,young,bank,own,2,skilled employee/official,1,none,yes,good
0 <= X < 200 DM),3.999 < X <= 12 months,existing credits paid back till now,radio/television,2319.5 < X <= 3972.25,< 100 DM,4 <= X < 7 years),2,divorced/married female,none,1,real estate,old,none,own,1,skilled employee/official,1,none,yes,good
no checking account,18 < X <= 24 months,critical account/other credits existing,education,1365.5 < X <= 2319.5,unknown or no savings,1 <= X < 4 years),3,divorced/married female,none,2,car/other,old,none,own,2,skilled employee/official,1,yes,yes,good
0 <= X < 200 DM), 24 < X <= 72 months,critical account/other credits existing,car (new),2319.5 < X <= 3972.25,< 100 DM,< 1 year,4,divorced male,none,4,car/other,old,none,own,2,skilled employee/official,1,none,yes,bad
no checking account,18 < X <= 24 months,existing credits paid back till now,retraining,249.999 < X <= 1365.5,< 100 DM,< 1 year,4,married/widowed male,none,3,car/other,old,none,own,2,unskilled/resident,1,none,yes,good
0 <= X < 200 DM),12 < X <= 18 months,critical account/other credits existing,car (new),249.999 < X <= 1365.5,< 100 DM,>= 7 years,3,single male,guarantor,3,real estate,old,bank,own,2,skilled employee/official,1,none,yes,bad
0 <= X < 200 DM),3.999 < X <= 12 months,critical account/other credits existing,car (new),2319.5 < X <= 3972.25,< 100 DM,< 1 year,1,single male,none,3,real estate,old,bank,own,2,unskilled/resident,2,none,yes,good
no checking account,3.999 < X <= 12 months,existing credits paid back till now,furniture/equipment,1365.5 < X <= 2319.5,< 100 DM,1 <= X < 4 years),4,divorced/married female,none,2,real estate,old,none,rent,1,skilled employee/official,1,none,yes,good
0 <= X < 200 DM), 24 < X <= 72 months,existing credits paid back till now,repairs,2319.5 < X <= 3972.25,< 100 DM,< 1 year,4,single male,none,1,unknown/no property,old,none,rent,1,unskilled/resident,1,none,yes,bad
no checking account,3.999 < X <= 12 months,existing credits paid back till now,car (new),1365.5 < X <= 2319.5,unknown or no savings,>= 7 years,4,divorced/married female,none,4,unknown/no property,old,none,for free,1,management/self employed/highly qualified employee/officer,1,yes,yes,good
< 0 DM,12 < X <= 18 months,existing credits paid back till now,furniture/equipment,1365.5 < X <= 2319.5,< 100 DM,1 <= X < 4 years),1,divorced/married female,none,4,real estate,young,bank,rent,1,skilled employee/official,1,none,yes,bad
< 0 DM,3.999 < X <= 12 months,critical account/other credits existing,car (new),2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),2,single male,none,2,real estate,old,none,rent,2,skilled employee/official,2,none,yes,good
< 0 DM,3.999 < X <= 12 months,existing credits paid back till now,furniture/equipment,249.999 < X <= 1365.5,< 100 DM,1 <= X < 4 years),4,single male,guarantor,1,savings/life insurance,young,none,own,1,unskilled/resident,1,none,yes,good
< 0 DM,12 < X <= 18 months,existing credits paid back till now,domestic appliances,249.999 < X <= 1365.5,< 100 DM,1 <= X < 4 years),4,married/widowed male,none,3,real estate,old,none,own,1,unskilled/resident,1,yes,yes,bad
< 0 DM,3.999 < X <= 12 months,critical account/other credits existing,furniture/equipment,1365.5 < X <= 2319.5,< 100 DM,>= 7 years,3,single male,none,3,savings/life insurance,old,none,own,2,skilled employee/official,1,none,yes,bad
< 0 DM,3.999 < X <= 12 months,critical account/other credits existing,radio/television,249.999 < X <= 1365.5,< 100 DM,4 <= X < 7 years),4,divorced/married female,none,3,real estate,old,none,own,4,unskilled/resident,1,yes,yes,good
0 <= X < 200 DM),18 < X <= 24 months,delay paid in the past,car (new),1365.5 < X <= 2319.5,unknown or no savings,1 <= X < 4 years),4,divorced/married female,none,4,car/other,old,none,rent,2,skilled employee/official,1,yes,yes,good
no checking account,18 < X <= 24 months,existing credits paid back till now,business,1365.5 < X <= 2319.5,>= 1000 DM,>= 7 years,4,divorced/married female,none,4,real estate,old,bank,own,1,unskilled/resident,1,none,yes,good
0 <= X < 200 DM),18 < X <= 24 months,existing credits paid back till now,car (new),2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),3,divorced/married female,none,4,savings/life insurance,young,none,rent,1,unskilled/resident,1,yes,yes,bad
< 0 DM,18 < X <= 24 months,all credits paid at this bank,others,249.999 < X <= 1365.5,unknown or no savings,>= 7 years,4,single male,none,3,car/other,old,stores,own,1,management/self employed/highly qualified employee/officer,1,yes,yes,bad
0 <= X < 200 DM),3.999 < X <= 12 months,all credits paid at this bank,car (new),249.999 < X <= 1365.5,100 <= X < 500 DM),< 1 year,1,divorced/married female,none,1,savings/life insurance,old,stores,own,1,unskilled/resident,1,none,yes,bad
< 0 DM,18 < X <= 24 months,existing credits paid back till now,car (new),1365.5 < X <= 2319.5,< 100 DM,4 <= X < 7 years),4,divorced/married female,none,4,car/other,young,none,rent,2,skilled employee/official,1,none,yes,bad
0 <= X < 200 DM),18 < X <= 24 months,no credits taken/all credits paid,business,3972.25 < X <= 18424.0,< 100 DM,1 <= X < 4 years),1,single male,none,4,real estate,old,none,own,3,unskilled/resident,1,yes,yes,bad
no checking account,12 < X <= 18 months,critical account/other credits existing,car (new),2319.5 < X <= 3972.25,< 100 DM,4 <= X < 7 years),2,single male,none,2,savings/life insurance,old,bank,own,2,skilled employee/official,1,none,yes,bad
no checking account,18 < X <= 24 months,delay paid in the past,business,2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),1,single male,none,2,unknown/no property,old,none,for free,1,skilled employee/official,1,none,yes,good
0 <= X < 200 DM),3.999 < X <= 12 months,existing credits paid back till now,radio/television,2319.5 < X <= 3972.25,< 100 DM,< 1 year,1,divorced/married female,guarantor,1,real estate,old,none,own,1,skilled employee/official,1,none,yes,good
0 <= X < 200 DM),3.999 < X <= 12 months,existing credits paid back till now,furniture/equipment,249.999 < X <= 1365.5,< 100 DM,1 <= X < 4 years),4,divorced/married female,none,1,savings/life insurance,old,none,own,1,skilled employee/official,1,none,yes,bad
0 <= X < 200 DM),18 < X <= 24 months,all credits paid at this bank,education,1365.5 < X <= 2319.5,< 100 DM,4 <= X < 7 years),4,divorced/married female,none,4,unknown/no property,old,bank,for free,1,unskilled/resident,1,none,yes,bad
no checking account, 24 < X <= 72 months,existing credits paid back till now,furniture/equipment,2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),4,divorced/married female,none,2,car/other,old,none,own,1,management/self employed/highly qualified employee/officer,1,yes,yes,bad
>= 200DM,3.999 < X <= 12 months,existing credits paid back till now,furniture/equipment,249.999 < X <= 1365.5,< 100 DM,< 1 year,4,divorced/married female,none,2,savings/life insurance,young,none,own,1,skilled employee/official,1,none,yes,good
< 0 DM,18 < X <= 24 months,all credits paid at this bank,furniture/equipment,2319.5 < X <= 3972.25,500 <= X < 1000 DM),1 <= X < 4 years),4,single male,none,4,real estate,young,stores,own,1,skilled employee/official,1,yes,yes,good
no checking account,18 < X <= 24 months,critical account/other credits existing,business,3972.25 < X <= 18424.0,< 100 DM,1 <= X < 4 years),3,single male,none,2,real estate,old,none,own,1,management/self employed/highly qualified employee/officer,1,yes,yes,good
0 <= X < 200 DM), 24 < X <= 72 months,existing credits paid back till now,radio/television,2319.5 < X <= 3972.25,100 <= X < 500 DM),1 <= X < 4 years),4,divorced/married female,co-applicant,4,unknown/no property,old,none,for free,1,skilled employee/official,1,none,yes,bad
no checking account,12 < X <= 18 months,existing credits paid back till now,radio/television,1365.5 < X <= 2319.5,< 100 DM,< 1 year,4,single male,none,1,real estate,old,none,own,1,skilled employee/official,1,none,yes,good
no checking account,12 < X <= 18 months,existing credits paid back till now,car (used),249.999 < X <= 1365.5,unknown or no savings,>= 7 years,4,single male,none,4,unknown/no property,old,bank,for free,1,skilled employee/official,2,none,yes,good
< 0 DM,3.999 < X <= 12 months,existing credits paid back till now,domestic appliances,249.999 < X <= 1365.5,100 <= X < 500 DM),unemployed,4,divorced/married female,none,3,savings/life insurance,young,none,own,1,skilled employee/official,1,none,yes,bad
>= 200DM,3.999 < X <= 12 months,existing credits paid back till now,car (new),249.999 < X <= 1365.5,100 <= X < 500 DM),>= 7 years,1,divorced/married female,none,4,unknown/no property,old,none,for free,1,unskilled/resident,2,none,yes,bad
< 0 DM,18 < X <= 24 months,existing credits paid back till now,radio/television,2319.5 < X <= 3972.25,>= 1000 DM,< 1 year,4,divorced/married female,none,2,car/other,old,bank,own,1,skilled employee/official,1,none,yes,good
< 0 DM,18 < X <= 24 months,all credits paid at this bank,car (used),2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),1,divorced/married female,guarantor,4,car/other,young,bank,rent,1,skilled employee/official,1,none,no,good
no checking account,12 < X <= 18 months,delay paid in the past,furniture/equipment,1365.5 < X <= 2319.5,< 100 DM,4 <= X < 7 years),4,divorced/married female,none,1,real estate,young,none,own,1,skilled employee/official,1,none,yes,bad
0 <= X < 200 DM), 24 < X <= 72 months,no credits taken/all credits paid,business,3972.25 < X <= 18424.0,unknown or no savings,1 <= X < 4 years),2,single male,none,2,car/other,old,bank,own,1,management/self employed/highly qualified employee/officer,1,yes,yes,good
0 <= X < 200 DM), 24 < X <= 72 months,delay paid in the past,radio/television,3972.25 < X <= 18424.0,unknown or no savings,1 <= X < 4 years),2,single male,none,2,unknown/no property,old,none,for free,1,management/self employed/highly qualified employee/officer,1,none,yes,good
< 0 DM,3.999 < X <= 12 months,critical account/other credits existing,car (new),2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),1,single male,none,3,real estate,old,none,rent,3,skilled employee/official,2,none,yes,good
0 <= X < 200 DM), 24 < X <= 72 months,existing credits paid back till now,furniture/equipment,2319.5 < X <= 3972.25,100 <= X < 500 DM),1 <= X < 4 years),2,divorced/married female,co-applicant,4,car/other,young,none,rent,1,skilled employee/official,1,none,yes,bad
no checking account,3.999 < X <= 12 months,existing credits paid back till now,car (new),249.999 < X <= 1365.5,< 100 DM,1 <= X < 4 years),4,divorced male,none,2,real estate,old,none,own,1,unskilled/resident,1,none,yes,good
0 <= X < 200 DM),18 < X <= 24 months,critical account/other credits existing,business,2319.5 < X <= 3972.25,< 100 DM,4 <= X < 7 years),2,single male,none,3,savings/life insurance,old,none,own,2,skilled employee/official,1,none,yes,good
no checking account,12 < X <= 18 months,critical account/other credits existing,car (new),1365.5 < X <= 2319.5,< 100 DM,1 <= X < 4 years),3,single male,none,2,savings/life insurance,old,bank,own,2,skilled employee/official,1,none,yes,bad
no checking account, 24 < X <= 72 months,existing credits paid back till now,business,2319.5 < X <= 3972.25,unknown or no savings,1 <= X < 4 years),4,divorced male,none,2,real estate,old,bank,own,1,skilled employee/official,1,none,yes,bad
< 0 DM,3.999 < X <= 12 months,existing credits paid back till now,furniture/equipment,1365.5 < X <= 2319.5,< 100 DM,< 1 year,4,divorced/married female,none,1,car/other,young,none,rent,1,skilled employee/official,1,none,yes,good
< 0 DM,12 < X <= 18 months,existing credits paid back till now,radio/television,2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),4,single male,none,4,unknown/no property,old,none,for free,2,skilled employee/official,1,none,yes,bad
no checking account,12 < X <= 18 months,existing credits paid back till now,radio/television,1365.5 < X <= 2319.5,unknown or no savings,>= 7 years,4,single male,none,2,car/other,old,none,own,1,skilled employee/official,1,none,yes,good
>= 200DM,3.999 < X <= 12 months,existing credits paid back till now,furniture/equipment,1365.5 < X <= 2319.5,< 100 DM,1 <= X < 4 years),2,single male,none,2,real estate,old,none,own,1,skilled employee/official,1,yes,yes,good
0 <= X < 200 DM),3.999 < X <= 12 months,all credits paid at this bank,car (new),1365.5 < X <= 2319.5,100 <= X < 500 DM),4 <= X < 7 years),2,single male,none,3,unknown/no property,old,none,own,1,skilled employee/official,1,none,yes,bad
no checking account, 24 < X <= 72 months,critical account/other credits existing,furniture/equipment,3972.25 < X <= 18424.0,500 <= X < 1000 DM),1 <= X < 4 years),4,single male,none,4,real estate,old,none,own,2,skilled employee/official,1,yes,yes,good
no checking account,3.999 < X <= 12 months,existing credits paid back till now,education,2319.5 < X <= 3972.25,unknown or no savings,>= 7 years,1,single male,none,4,real estate,old,none,own,1,unskilled/resident,1,none,yes,good
< 0 DM,18 < X <= 24 months,existing credits paid back till now,radio/television,2319.5 < X <= 3972.25,< 100 DM,1 <= X < 4 years),2,divorced/married female,none,4,car/other,old,none,own,1,skilled employee/official,1,none,yes,good
< 0 DM,12 < X <= 18 months,all credits paid at this bank,furniture/equipment,1365.5 < X <= 2319.5,< 100 DM,1 <= X < 4 years),4,single male,none,3,car/other,old,bank,own,1,skilled employee/official,1,none,yes,bad
0 <= X < 200 DM),12 < X <= 18 months,existing credits paid back till now,radio/television,1365.5 < X <= 2319.5,unknown or no savings,< 1 year,4,single male,none,1,savings/life insurance,young,none,own,1,skilled employee/official,1,none,yes,good
no checking account,3.999 < X <= 12 months,existing credits paid back till now,furniture/equipment,1365.5 < X <= 2319.5,< 100 DM,< 1 year,2,divorced/married female,co-applicant,2,car/other,young,none,rent,2,skilled employee/official,1,none,yes,bad
0 <= X < 200 DM),18 < X <= 24 months,existing credits paid back till now,car (new),249.999 < X <= 1365.5,< 100 DM,< 1 year,3,divorced/married female,none,4,car/other,young,none,own,1,unskilled/resident,1,yes,yes,bad
no checking account,3.999 < X <= 12 months,existing credits paid back till now,education,1365.5 < X <= 2319.5,< 100 DM,>= 7 years,4,single male,none,4,savings/life insurance,old,bank,own,3,skilled employee/official,2,yes,yes,good
